"","TypeEggs","Temperature","Period_length","replicate","start_eggs","hatched","ExpSetting","join.id"
"1","Diapausing",-20,"2 days","1",17,3,"Treatment","Diapausing_20_2_1"
"2","Diapausing",-20,"2 days","2",17,1,"Treatment","Diapausing_20_2_2"
"3","Diapausing",-20,"2 days","3",17,5,"Treatment","Diapausing_20_2_3"
"4","Diapausing",-20,"5 days","1",17,4,"Treatment","Diapausing_20_5_1"
"5","Diapausing",-20,"5 days","2",17,1,"Treatment","Diapausing_20_5_2"
"6","Diapausing",-20,"5 days","3",17,7,"Treatment","Diapausing_20_5_3"
"7","Diapausing",-20,"10 days","1",17,0,"Treatment","Diapausing_20_10_1"
"8","Diapausing",-20,"10 days","2",18,2,"Treatment","Diapausing_20_10_2"
"9","Diapausing",-20,"10 days","3",17,4,"Treatment","Diapausing_20_10_3"
"10","Diapausing",-20,"30 days","1",17,3,"Treatment","Diapausing_20_30_1"
"11","Diapausing",-20,"30 days","2",17,1,"Treatment","Diapausing_20_30_2"
"12","Diapausing",-20,"30 days","3",18,3,"Treatment","Diapausing_20_30_3"
"13","Non-Diapausing",-20,"2 days","1",20,3,"Treatment","Non-Diapausing_20_2_1"
"14","Non-Diapausing",-20,"2 days","2",21,4,"Treatment","Non-Diapausing_20_2_2"
"15","Non-Diapausing",-20,"2 days","3",19,4,"Treatment","Non-Diapausing_20_2_3"
"16","Non-Diapausing",-20,"5 days","1",20,1,"Treatment","Non-Diapausing_20_5_1"
"17","Non-Diapausing",-20,"5 days","2",20,6,"Treatment","Non-Diapausing_20_5_2"
"18","Non-Diapausing",-20,"5 days","3",20,4,"Treatment","Non-Diapausing_20_5_3"
"19","Non-Diapausing",-20,"10 days","1",19,2,"Treatment","Non-Diapausing_20_10_1"
"20","Non-Diapausing",-20,"10 days","2",21,4,"Treatment","Non-Diapausing_20_10_2"
"21","Non-Diapausing",-20,"10 days","3",20,4,"Treatment","Non-Diapausing_20_10_3"
"22","Non-Diapausing",-20,"20 days","1",22,0,"Treatment","Non-Diapausing_20_20_1"
"23","Non-Diapausing",-20,"20 days","2",20,0,"Treatment","Non-Diapausing_20_20_2"
"24","Non-Diapausing",-20,"20 days","3",19,0,"Treatment","Non-Diapausing_20_20_3"
"25","Non-Diapausing",-20,"30 days","1",20,1,"Treatment","Non-Diapausing_20_30_1"
"26","Non-Diapausing",-20,"30 days","2",19,2,"Treatment","Non-Diapausing_20_30_2"
"27","Non-Diapausing",-20,"30 days","3",24,1,"Treatment","Non-Diapausing_20_30_3"
"28","Diapausing",-15,"5 days","1",20,7,"Treatment","Diapausing_15_5_1"
"29","Diapausing",-15,"5 days","2",20,12,"Treatment","Diapausing_15_5_2"
"30","Diapausing",-15,"5 days","3",20,7,"Treatment","Diapausing_15_5_3"
"31","Diapausing",-15,"10 days","1",20,12,"Treatment","Diapausing_15_10_1"
"32","Diapausing",-15,"10 days","2",20,9,"Treatment","Diapausing_15_10_2"
"33","Diapausing",-15,"10 days","3",20,13,"Treatment","Diapausing_15_10_3"
"34","Diapausing",-15,"20 days","1",21,20,"Treatment","Diapausing_15_20_1"
"35","Diapausing",-15,"20 days","2",20,17,"Treatment","Diapausing_15_20_2"
"36","Non-Diapausing",-15,"2 days","1",20,3,"Treatment","Non-Diapausing_15_2_1"
"37","Non-Diapausing",-15,"2 days","2",19,2,"Treatment","Non-Diapausing_15_2_2"
"38","Non-Diapausing",-15,"2 days","3",22,2,"Treatment","Non-Diapausing_15_2_3"
"39","Non-Diapausing",-15,"5 days","1",20,3,"Treatment","Non-Diapausing_15_5_1"
"40","Non-Diapausing",-15,"5 days","2",20,1,"Treatment","Non-Diapausing_15_5_2"
"41","Non-Diapausing",-15,"5 days","3",20,6,"Treatment","Non-Diapausing_15_5_3"
"42","Non-Diapausing",-15,"10 days","1",20,0,"Treatment","Non-Diapausing_15_10_1"
"43","Non-Diapausing",-15,"10 days","2",20,1,"Treatment","Non-Diapausing_15_10_2"
"44","Non-Diapausing",-15,"10 days","3",19,2,"Treatment","Non-Diapausing_15_10_3"
"45","Non-Diapausing",-15,"20 days","1",21,3,"Treatment","Non-Diapausing_15_20_1"
"46","Non-Diapausing",-15,"20 days","2",20,2,"Treatment","Non-Diapausing_15_20_2"
"47","Non-Diapausing",-15,"20 days","3",21,3,"Treatment","Non-Diapausing_15_20_3"
"48","Non-Diapausing",-15,"30 days","1",26,2,"Treatment","Non-Diapausing_15_30_1"
"49","Non-Diapausing",-15,"30 days","2",20,3,"Treatment","Non-Diapausing_15_30_2"
"50","Non-Diapausing",-15,"30 days","3",22,0,"Treatment","Non-Diapausing_15_30_3"
"51","Diapausing",-10,"5 days","1",17,14,"Treatment","Diapausing_10_5_1"
"52","Diapausing",-10,"5 days","2",17,12,"Treatment","Diapausing_10_5_2"
"53","Diapausing",-10,"5 days","3",17,14,"Treatment","Diapausing_10_5_3"
"54","Diapausing",-10,"10 days","1",17,10,"Treatment","Diapausing_10_10_1"
"55","Diapausing",-10,"10 days","2",17,6,"Treatment","Diapausing_10_10_2"
"56","Diapausing",-10,"10 days","3",18,9,"Treatment","Diapausing_10_10_3"
"57","Diapausing",-10,"20 days","1",17,14,"Treatment","Diapausing_10_20_1"
"58","Diapausing",-10,"20 days","2",17,10,"Treatment","Diapausing_10_20_2"
"59","Diapausing",-10,"20 days","3",18,15,"Treatment","Diapausing_10_20_3"
"60","Diapausing",-10,"30 days","1",17,3,"Treatment","Diapausing_10_30_1"
"61","Diapausing",-10,"30 days","2",20,16,"Treatment","Diapausing_10_30_2"
"62","Diapausing",-10,"30 days","3",17,13,"Treatment","Diapausing_10_30_3"
"63","Non-Diapausing",-10,"2 days","1",20,10,"Treatment","Non-Diapausing_10_2_1"
"64","Non-Diapausing",-10,"2 days","2",21,8,"Treatment","Non-Diapausing_10_2_2"
"65","Non-Diapausing",-10,"2 days","3",19,7,"Treatment","Non-Diapausing_10_2_3"
"66","Non-Diapausing",-10,"5 days","1",20,6,"Treatment","Non-Diapausing_10_5_1"
"67","Non-Diapausing",-10,"5 days","2",20,3,"Treatment","Non-Diapausing_10_5_2"
"68","Non-Diapausing",-10,"5 days","3",20,4,"Treatment","Non-Diapausing_10_5_3"
"69","Non-Diapausing",-10,"10 days","1",20,4,"Treatment","Non-Diapausing_10_10_1"
"70","Non-Diapausing",-10,"10 days","2",21,7,"Treatment","Non-Diapausing_10_10_2"
"71","Non-Diapausing",-10,"10 days","3",21,6,"Treatment","Non-Diapausing_10_10_3"
"72","Non-Diapausing",-10,"20 days","1",20,5,"Treatment","Non-Diapausing_10_20_1"
"73","Non-Diapausing",-10,"20 days","2",21,8,"Treatment","Non-Diapausing_10_20_2"
"74","Non-Diapausing",-10,"20 days","3",20,4,"Treatment","Non-Diapausing_10_20_3"
"75","Non-Diapausing",-10,"30 days","1",17,8,"Treatment","Non-Diapausing_10_30_1"
"76","Non-Diapausing",-10,"30 days","2",21,4,"Treatment","Non-Diapausing_10_30_2"
"77","Non-Diapausing",-10,"30 days","3",22,3,"Treatment","Non-Diapausing_10_30_3"
"78","Diapausing",-5,"2 days","1",21,13,"Treatment","Diapausing_5_2_1"
"79","Diapausing",-5,"2 days","2",20,7,"Treatment","Diapausing_5_2_2"
"80","Diapausing",-5,"2 days","3",21,7,"Treatment","Diapausing_5_2_3"
"81","Diapausing",-5,"5 days","1",17,7,"Treatment","Diapausing_5_5_1"
